"","blkdens","clay","silt","sand"
"BDW_000_005_EV_N_P_AU_NAT_C_20140801",1.4415203332901,26.9355201721191,7.53015470504761,59.7585830688477
"BDW_005_015_EV_N_P_AU_NAT_C_20140801",1.46955502033234,29.2424087524414,7.47756290435791,58.3676986694336
"BDW_015_030_EV_N_P_AU_NAT_C_20140801",1.4850686788559,34.4454193115234,7.15598964691162,54.2069244384766
"BDW_030_060_EV_N_P_AU_NAT_C_20140801",1.48698997497559,35.020450592041,6.72657585144043,49.2557373046875
"BDW_060_100_EV_N_P_AU_NAT_C_20140801",1.50898492336273,36.5614738464355,6.72305393218994,46.6855087280273
"BDW_100_200_EV_N_P_AU_NAT_C_20140801",1.5363734960556,35.2499618530273,7.02781867980957,45.5089225769043
