"","long","lat","freq"
"1119",144.5,-23.5,1255
"779",142.5,-27.5,1159
"1118",144,-23.5,1140
"739",143.5,-28,1131
"497",148.5,-31,1129
"400",142,-32,1090
"948",143,-25.5,991
"907",143.5,-26,978
"1037",145.5,-24.5,965
"1161",144.5,-23,964
"874",148,-26.5,951
"1075",143.5,-24,936
"996",146,-25,923
"955",146.5,-25.5,908
"875",148.5,-26.5,907
"780",143,-27.5,892
"902",141,-26,886
"610",142,-29.5,867
"1203",144.5,-22.5,866
"820",142,-27,864
"1077",144.5,-24,855
"412",148,-32,845
"576",146,-30,840
"1152",140,-23,840
"496",148,-31,839
"822",143,-27,838
"997",146.5,-25,837
"945",141.5,-25.5,821
"399",141.5,-32,817
"652",142,-29,812
"901",140.5,-26,796
"1162",145,-23,795
"1160",144,-23,783
"568",142,-30,775
"778",142,-27.5,773
"990",143,-25,770
"281",145.5,-33.5,766
"944",141,-25.5,763
"865",143.5,-26.5,758
"454",148,-31.5,753
"486",143,-31,742
"866",144,-26.5,729
"455",148.5,-31.5,727
"786",146,-27.5,725
"986",141,-25,722
"1199",142.5,-22.5,714
"196",145,-34.5,712
"580",148,-30,701
"913",146.5,-26,698
"947",142.5,-25.5,697
"1076",144,-24,695
"1201",143.5,-22.5,691
"526",142,-30.5,690
"583",149.5,-30,675
"1079",145.5,-24,672
"626",150,-29.5,664
"860",141,-26.5,662
"954",146,-25.5,662
"899",139.5,-26,661
"828",146,-27,660
"1168",148,-23,655
"1120",145,-23.5,651
"441",141.5,-31.5,649
"818",141,-27,635
"539",148.5,-30.5,633
"694",142,-28.5,629
"737",142.5,-28,629
"321",144.5,-33,627
"876",149,-26.5,620
"1200",143,-22.5,620
"867",144.5,-26.5,615
"575",145.5,-30,612
"1026",140,-24.5,603
"749",148.5,-28,598
"112",145,-35.5,595
"864",143,-26.5,590
"445",143.5,-31.5,589
"453",147.5,-31.5,587
"834",149,-27,584
"946",142,-25.5,584
"917",148.5,-26,582
"1034",144,-24.5,581
"241",146.5,-34,573
"1153",140.5,-23,573
"666",149,-29,570
"859",140.5,-26.5,570
"740",144,-28,566
"1209",147.5,-22.5,559
"863",142.5,-26.5,555
"154",145,-35,554
"538",148,-30.5,554
"1036",145,-24.5,553
"239",145.5,-34,548
"1365",141.5,-20.5,548
"570",143,-30,546
"1033",143.5,-24.5,544
"1328",144,-21,544
"240",146,-34,540
"484",142,-31,540
"744",146,-28,533
"941",139.5,-25.5,533
"623",148.5,-29.5,527
"197",145.5,-34.5,526
"667",149.5,-29,525
"282",146,-33.5,521
"1032",143,-24.5,516
"1084",148,-24,513
"825",144.5,-27,512
"280",145,-33.5,511
"909",144.5,-26,507
"1035",144.5,-24.5,506
"776",141,-27.5,505
"320",144,-33,504
"821",142.5,-27,501
"833",148.5,-27,498
"393",138.5,-32,497
"733",140.5,-28,494
"870",146,-26.5,492
"613",143.5,-29.5,488
"1041",147.5,-24.5,487
"992",144,-25,486
"707",148.5,-28.5,485
"1242",143,-22,484
"156",146,-35,482
"577",146.5,-30,482
"528",143,-30.5,481
"359",142.5,-32.5,479
"452",147,-31.5,477
"199",146.5,-34.5,475
"284",147,-33.5,473
"155",145.5,-35,471
"625",149.5,-29.5,470
"238",145,-34,468
"529",143.5,-30.5,467
"444",143,-31.5,463
"1197",141.5,-22.5,463
"669",150.5,-29,461
"578",147,-30,459
"991",143.5,-25,458
"325",146.5,-33,454
"495",147.5,-31,451
"989",142.5,-25,449
"1126",148,-23.5,443
"232",142,-34,440
"663",147.5,-29,440
"353",139.5,-32.5,437
"912",146,-26,437
"582",149,-30,434
"157",146.5,-35,433
"1038",146,-24.5,433
"987",141.5,-25,430
"1043",148.5,-24.5,430
"873",147.5,-26.5,428
"527",142.5,-30.5,427
"1156",142,-23,427
"942",140,-25.5,426
"521",139.5,-30.5,424
"1085",148.5,-24,424
"1111",140.5,-23.5,421
"1241",142.5,-22,420
"950",144,-25.5,417
"532",145,-30.5,413
"1159",143.5,-23,413
"872",147,-26.5,412
"906",143,-26,411
"435",138.5,-31.5,410
"664",148,-29,410
"620",147,-29.5,409
"483",141.5,-31,408
"743",145.5,-28,408
"985",140.5,-25,408
"114",146,-35.5,406
"702",146,-28.5,405
"283",146.5,-33.5,404
"326",147,-33,404
"198",146,-34.5,403
"369",147.5,-32.5,403
"398",141,-32,402
"411",147.5,-32,402
"477",138.5,-31,398
"645",138.5,-29,398
"540",149,-30.5,397
"519",138.5,-30.5,396
"710",150,-28.5,396
"736",142,-28,395
"1251",147.5,-22,395
"836",150,-27,394
"618",146,-29.5,392
"1002",149,-25,392
"612",143,-29.5,391
"319",143.5,-33,390
"536",147,-30.5,390
"611",142.5,-29.5,390
"708",149,-28.5,390
"696",143,-28.5,388
"487",143.5,-31,387
"783",144.5,-27.5,385
"905",142.5,-26,384
"1363",140.5,-20.5,384
"562",139,-30,382
"1027",140.5,-24.5,381
"1574",141,-18,381
"275",142.5,-33.5,380
"1531",140.5,-18.5,378
"624",149,-29.5,377
"1070",141,-24,377
"410",147,-32,375
"317",142.5,-33,373
"561",138.5,-30,371
"1069",140.5,-24,370
"1109",139.5,-23.5,368
"351",138.5,-32.5,366
"1025",139.5,-24.5,366
"995",145.5,-25,365
"113",145.5,-35.5,361
"581",148.5,-30,359
"584",150,-30,357
"832",148,-27,357
"1366",142,-20.5,353
"564",140,-30,352
"914",147,-26,352
"983",139.5,-25,351
"360",143,-32.5,350
"1406",141,-20,350
"357",141.5,-32.5,349
"1151",139.5,-23,349
"819",141.5,-27,348
"794",150,-27.5,346
"701",145.5,-28.5,343
"1067",139.5,-24,341
"242",147,-34,338
"1044",149,-24.5,338
"711",150.5,-28.5,336
"1282",142,-21.5,336
"111",144.5,-35.5,330
"498",149,-31,330
"1488",140,-19,330
"195",144.5,-34.5,329
"1245",144.5,-22,327
"1532",141,-18.5,326
"200",147,-34.5,325
"742",145,-28,325
"362",144,-32.5,323
"709",149.5,-28.5,322
"1113",141.5,-23.5,322
"1244",144,-22,322
"479",139.5,-31,320
"354",140,-32.5,319
"614",144,-29.5,318
"602",138,-29.5,317
"1400",138,-20,316
"622",148,-29.5,315
"1276",139,-21.5,313
"627",150.5,-29.5,312
"193",143.5,-34.5,310
"695",142.5,-28.5,305
"1196",141,-22.5,304
"395",139.5,-32,303
"1275",138.5,-21.5,303
"878",150,-26.5,301
"604",139,-29.5,300
"1121",145.5,-23.5,299
"835",149.5,-27,298
"1031",142.5,-24.5,296
"413",148.5,-32,295
"572",144,-30,292
"151",143.5,-35,291
"1250",147,-22,290
"777",141.5,-27.5,289
"1074",143,-24,288
"440",141,-31.5,287
"327",147.5,-33,286
"397",140.5,-32,286
"370",148,-32.5,284
"751",149.5,-28,284
"1150",139,-23,284
"920",150,-26,283
"621",147.5,-29.5,281
"152",144,-35,280
"192",143,-34.5,279
"494",147,-31,278
"1110",140,-23.5,278
"1367",142.5,-20.5,277
"1001",148.5,-25,276
"489",144.5,-31,274
"1042",148,-24.5,274
"606",140,-29.5,271
"442",142,-31.5,270
"485",142.5,-31,270
"668",150,-29,269
"814",139,-27,269
"741",144.5,-28,268
"115",146.5,-35.5,267
"276",143,-33.5,267
"279",144.5,-33.5,267
"693",141.5,-28.5,266
"278",144,-33.5,265
"315",141.5,-33,263
"735",141.5,-28,262
"953",145.5,-25.5,262
"857",139.5,-26.5,258
"533",145.5,-30.5,257
"792",149,-27.5,257
"368",147,-32.5,256
"605",139.5,-29.5,256
"911",145.5,-26,256
"274",142,-33.5,255
"1078",145,-24,255
"443",142.5,-31.5,254
"775",140.5,-27.5,254
"437",139.5,-31.5,253
"706",148,-28.5,252
"959",148.5,-25.5,252
"1324",142,-21,252
"537",147.5,-30.5,251
"916",148,-26,251
"1029",141.5,-24.5,251
"153",144.5,-35,249
"1446",140,-19.5,247
"1202",144,-22.5,246
"1287",144.5,-21.5,246
"1284",143,-21.5,245
"1326",143,-21,245
"659",145.5,-29,244
"1368",143,-20.5,244
"753",150.5,-28,243
"960",149,-25.5,242
"831",147.5,-27,241
"1243",143.5,-22,241
"871",146.5,-26.5,239
"273",141.5,-33.5,238
"394",139,-32,238
"446",144,-31.5,237
"1235",139.5,-22,237
"1281",141.5,-21.5,237
"1210",148,-22.5,236
"619",146.5,-29.5,232
"1117",143.5,-23.5,232
"791",148.5,-27.5,230
"1407",141.5,-20,230
"1327",143.5,-21,229
"956",147,-25.5,227
"1155",141.5,-23,227
"1489",140.5,-19,227
"1616",141,-17.5,227
"322",145,-33,224
"1322",141,-21,223
"1364",141,-20.5,222
"609",141.5,-29.5,220
"722",135,-28,217
"660",146,-29,214
"1193",139.5,-22.5,214
"1530",140,-18.5,214
"574",145,-30,213
"815",139.5,-27,213
"1404",140,-20,213
"563",139.5,-30,211
"918",149,-26,210
"1571",139.5,-18,209
"1123",146.5,-23.5,207
"402",143,-32,206
"1329",144.5,-21,205
"919",149.5,-26,204
"567",141.5,-30,203
"191",142.5,-34.5,202
"657",144.5,-29,201
"838",151,-27,201
"1195",140.5,-22.5,201
"478",139,-31,199
"747",147.5,-28,199
"952",145,-25.5,199
"1447",140.5,-19.5,199
"1194",140,-22.5,198
"877",149.5,-26.5,196
"1112",141,-23.5,196
"1529",139.5,-18.5,195
"861",141.5,-26.5,194
"1236",140,-22,194
"1122",146,-23.5,193
"352",139,-32.5,192
"366",146,-32.5,190
"765",135.5,-27.5,190
"69",144.5,-36,188
"1157",142.5,-23,188
"750",149,-28,187
"648",140,-29,186
"734",141,-28,186
"687",138.5,-28.5,185
"862",142,-26.5,184
"1198",142,-22.5,182
"409",146.5,-32,180
"520",139,-30.5,180
"1448",141,-19.5,179
"1154",141,-23,177
"1283",142.5,-21.5,177
"1398",137,-20,177
"729",138.5,-28,175
"231",141.5,-34,174
"691",140.5,-28.5,174
"748",148,-28,174
"1028",141,-24.5,174
"1233",138.5,-22,174
"1316",138,-21,174
"665",148.5,-29,173
"404",144,-32,172
"530",144,-30.5,172
"569",142.5,-30,171
"1573",140.5,-18,171
"235",143.5,-34,170
"358",142,-32.5,170
"451",146.5,-31.5,169
"1486",139,-19,169
"234",143,-34,168
"752",150,-28,168
"1285",143.5,-21.5,165
"401",142.5,-32,164
"782",144,-27.5,164
"823",143.5,-27,164
"1286",144,-21.5,163
"616",145,-29.5,162
"789",147.5,-27.5,162
"1323",141.5,-21,162
"651",141.5,-29,159
"1167",147.5,-23,158
"1277",139.5,-21.5,158
"318",143,-33,157
"579",147.5,-30,157
"615",144.5,-29.5,157
"903",141.5,-26,157
"194",144,-34.5,156
"324",146,-33,156
"367",146.5,-32.5,156
"436",139,-31.5,156
"1191",138.5,-22.5,156
"236",144,-34,153
"541",149.5,-30.5,153
"1232",138,-22,153
"1278",140,-21.5,153
"908",144,-26,152
"1045",149.5,-24.5,152
"277",143.5,-33.5,151
"403",143.5,-32,150
"1399",137.5,-20,150
"1522",136,-18.5,149
"1528",139,-18.5,148
"690",140,-28.5,147
"1125",147.5,-23.5,146
"1238",141,-22,146
"1359",138.5,-20.5,146
"1361",139.5,-20.5,146
"323",145.5,-33,145
"962",150,-25.5,145
"310",139,-33,144
"603",138.5,-29.5,142
"650",141,-29,142
"1127",148.5,-23.5,142
"1370",144,-20.5,141
"1572",140,-18,141
"450",146,-31.5,139
"795",150.5,-27.5,138
"150",143,-35,137
"542",150,-30.5,137
"560",138,-30,134
"830",147,-27,134
"1204",145,-22.5,134
"1481",136.5,-19,134
"70",145,-36,132
"617",145.5,-29.5,132
"601",137.5,-29.5,130
"1240",142,-22,130
"771",138.5,-27.5,128
"790",148,-27.5,128
"793",149.5,-27.5,128
"482",141,-31,127
"662",147,-29,127
"230",141,-34,126
"638",135,-29,126
"1124",147,-23.5,126
"361",143.5,-32.5,125
"363",144.5,-32.5,125
"703",146.5,-28.5,125
"868",145,-26.5,125
"1192",139,-22.5,125
"1357",137.5,-20.5,125
"1490",141,-19,125
"328",148,-33,124
"456",149,-31.5,124
"585",150.5,-30,124
"661",146.5,-29,123
"396",140,-32,121
"534",146,-30.5,121
"721",134.5,-28,121
"1003",149.5,-25,119
"1319",139.5,-21,118
"350",138,-32.5,117
"501",150.5,-31,117
"525",141.5,-30.5,117
"984",140,-25,117
"994",145,-25,117
"566",141,-30,116
"788",147,-27.5,116
"824",144,-27,116
"1166",147,-23,116
"408",146,-32,115
"961",149.5,-25.5,115
"1401",138.5,-20,115
"1040",147,-24.5,113
"1402",139,-20,111
"500",150,-31,110
"746",147,-28,110
"449",145.5,-31.5,109
"285",147.5,-33.5,108
"600",137,-29.5,108
"700",145,-28.5,108
"1320",140,-21,108
"1444",139,-19.5,108
"837",150.5,-27,107
"890",135,-26,107
"1440",137,-19.5,107
"848",135,-26.5,106
"849",135.5,-26.5,106
"900",140,-26,106
